Record Length,20480,,Source,CH1
Sample Interval,CH1:0.0000080000000,,Second,Volt
Vertical Units,CH1:V,,-0.08191999793,-4.80000,
Vertical Scale,CH1:5.00,,-0.08191200346,-4.80000,
Vertical Offset,CH1:0.00,,-0.08190400153,-4.60000,
Horizontal Units,s,,-0.08189599961,-4.80000,
Horizontal Scale,0.0049999999,,-0.08188799769,-4.80000,
Model Number,SDS1102CML+,,-0.08188000321,-4.60000,
Serial Number,SDS1MDBQ1R6022,,-0.08187200129,-4.60000,
Software Version,6.01.01.19,,-0.08186399937,-4.60000,
,,,-0.07740800083,6.80000,
,,,-0.07739999890,6.80000,
,,,-0.07739199698,6.80000,
,,,-0.07738400251,6.80000,
,,,-0.07737600058,6.80000,
,,,-0.07736799866,6.80000,
,,,-0.07735999674,7.00000,
,,,-0.07735200226,7.00000,
,,,-0.07734400034,7.00000,
,,,-0.07733599842,6.80000,
,,,-0.07732799649,7.00000,
,,,-0.07732000202,7.00000,
,,,-0.07731200010,7.00000,
,,,-0.07730399817,7.00000,
,,,-0.07729599625,7.00000,
,,,-0.07728800178,7.00000,
,,,-0.07727999985,6.80000,
,,,-0.07727199793,7.00000,
,,,-0.07726400346,7.00000,
,,,-0.07725600153,7.00000,
,,,-0.07724799961,7.00000,
,,,-0.07723999768,7.00000,
,,,-0.07723200321,7.00000,
,,,-0.07722400129,7.00000,
,,,-0.07721599936,7.20000,
,,,-0.07720799744,7.00000,
,,,-0.07720000297,7.20000,
,,,-0.07719200104,7.40000,
,,,-0.07718399912,7.20000,
,,,-0.07717599720,7.00000,
,,,-0.07716800272,7.40000,
,,,-0.07716000080,7.00000,
,,,-0.07715199888,7.20000,
,,,-0.07714399695,7.00000,
,,,-0.07713600248,7.40000,
,,,-0.07712800056,7.20000,
,,,-0.07711999863,7.40000,
,,,-0.07711199671,7.40000,
,,,-0.07710400224,7.40000,
,,,-0.07709600031,7.40000,
,,,-0.07708799839,7.40000,
,,,-0.07707999647,7.40000,
,,,-0.07707200199,7.20000,
,,,-0.07706400007,7.40000,
,,,-0.07705599815,7.40000,
,,,-0.07704799622,7.40000,
,,,-0.07704000175,7.40000,
,,,-0.07703199983,7.40000,
,,,-0.07702399790,7.40000,
,,,-0.07701600343,7.40000,
,,,-0.07700800151,7.40000,
,,,-0.07699999958,7.40000,
,,,-0.07699199766,7.40000,
,,,-0.07698400319,7.40000,
,,,-0.07697600126,7.40000,
,,,-0.07696799934,7.40000,
,,,-0.07695999742,7.40000,
,,,-0.07695200294,7.40000,
,,,-0.07694400102,7.40000,
,,,-0.07693599910,7.40000,
,,,-0.07692799717,7.40000,
,,,-0.07692000270,7.40000,
,,,-0.07691200078,7.60000,
,,,-0.07690399885,7.40000,
,,,-0.07689599693,7.60000,
,,,-0.07688800246,7.40000,
,,,-0.07688000053,7.40000,
,,,-0.07687199861,7.40000,
,,,-0.07686399668,7.60000,
,,,-0.07685600221,7.60000,
,,,-0.07684800029,7.40000,
,,,-0.07683999836,7.60000,
,,,-0.07683199644,7.60000,
,,,-0.07682400197,7.60000,
,,,-0.07681600004,7.60000,
,,,-0.07680799812,7.60000,
,,,-0.07679999620,7.60000,
,,,-0.07679200172,7.60000,
,,,-0.07678399980,7.60000,
,,,-0.07677599788,7.80000,
,,,-0.07676800340,7.80000,
,,,-0.07676000148,7.60000,
,,,-0.07675199956,7.60000,
,,,-0.07674399763,7.80000,
,,,-0.07673600316,7.80000,
,,,-0.07672800124,7.60000,
,,,-0.07671999931,7.80000,
,,,-0.07671199739,7.80000,
,,,-0.07670400292,7.80000,
,,,-0.07669600099,7.60000,
,,,-0.07668799907,7.60000,
,,,-0.07667999715,7.80000,
,,,-0.07667200267,7.80000,
,,,-0.07666400075,8.00000,
,,,-0.07665599883,7.80000,
,,,-0.07664799690,7.80000,
,,,-0.07664000243,8.00000,
,,,-0.07663200051,7.60000,
,,,-0.07662399858,7.80000,
,,,-0.07661599666,8.00000,
,,,-0.07660800219,8.00000,
,,,-0.07660000026,7.80000,
,,,-0.07659199834,8.00000,
,,,-0.07658399642,7.80000,
,,,-0.07657600194,8.00000,
,,,-0.07656800002,8.00000,
,,,-0.07655999810,8.00000,
,,,-0.07655199617,7.80000,
,,,-0.07654400170,8.20000,
,,,-0.07653599977,8.00000,
,,,-0.07652799785,8.00000,
,,,-0.07652000338,8.00000,
,,,-0.07651200145,8.00000,
,,,-0.07650399953,8.20000,
,,,-0.07649599761,8.20000,
,,,-0.07648800313,8.00000,
,,,-0.07648000121,8.00000,
,,,-0.07647199929,8.00000,
,,,-0.07646399736,8.20000,
,,,-0.07645600289,8.20000,
,,,-0.07644800097,8.20000,
,,,-0.07643999904,8.00000,
,,,-0.07643199712,8.20000,
,,,-0.07642400265,8.00000,
,,,-0.07641600072,8.20000,
,,,-0.07640799880,8.00000,
,,,-0.07639999688,8.20000,
,,,-0.07639200240,8.20000,
,,,-0.07638400048,8.20000,
,,,-0.07637599856,8.20000,
,,,-0.07636799663,8.00000,
,,,-0.07636000216,8.00000,
,,,-0.07635200024,8.20000,
,,,-0.07634399831,8.20000,
,,,-0.07633599639,8.20000,
,,,-0.07632800192,8.20000,
,,,-0.07631999999,8.40000,
,,,-0.07631199807,8.20000,
,,,-0.07630399615,8.20000,
,,,-0.07629600167,8.20000,
,,,-0.07628799975,8.20000,
,,,-0.07627999783,8.40000,
,,,-0.07627200335,8.20000,
,,,-0.07626400143,8.20000,
,,,-0.07625599951,8.20000,
,,,-0.07624799758,8.20000,
,,,-0.07624000311,8.40000,
,,,-0.07623200119,8.40000,
,,,-0.07622399926,8.20000,
,,,-0.07621599734,8.40000,
,,,-0.07620800287,8.40000,
,,,-0.07620000094,8.40000,
,,,-0.07619199902,8.40000,
